(“ AINOS TRANSIT S.A. “,,,0,2,PIRAEUS,1,0,1,2104123503,0,0,2104131223,0,ainostr@otenet.gr,0,0,1,0,0,0,CUSTOMER,test12,"),"
(“ ALCYON SHIPPING CO.LTD. “,,,0,2,1 k. ventiri strt,1,0,1,2107253401,2107253402,2107253403 - 7,2107253467,0,ops@alcyonshipping.com,0,0,1,0,0,0,CUSTOMER,test12,"),"
(“ ALEXANDRIA SHIPPING S.A. “,,,0,2,7 omonoia square,1,0,1,2105238000,0,0,2105236900,0,operations@alexship.gr,technical@alexship.gr,0,1,0,0,0,CUSTOMER,test12,"),"
(“ ALKYON TANKERS & FREIGHTERS INTERNATIONAL LTD. “,,,0,2,PIRAEUS 185 35,1,18535,1,2104280610,2104280611-14,0,2104280615,0,adelfmar@otenet.gr,0,0,1,0,0,0,CUSTOMER,test12,"),"
(“ ALLOCEANS SHIPPING CO.LTD “,,,0,2,225-227 kifissias avenue,1,14561,1,2106142891,0,0,2106143056,0,all@alloceans.gr,0,0,1,0,0,anavryta 2 bldg,CUSTOMER,test12,"),"
(“ ALMI MARINE MANAGEMENT S.A. “,,,0,2,87 kiffisias aven.,1,18233,1,2106178800,0,0,2106178801,0,info@almimarine.gr,0,0,1,0,0,0,CUSTOMER,test12,"),"
(“ ANANGEL MARITIME SERVICES INC “,,,0,2,354 syggrou aven.,31,176 74,31,2109467200,0,0,2109408820,0,mail@anangelmar.com,0,0,1,0,0,0,CUSTOMER,test12,"),"
(“ ANBROS MARITIME S.A. “,,,0,2,116 kolokotroni str,1,0,1,2104284100,0,0,2104284160,0,info@anbros.gr,0,0,1,0,0,0,CUSTOMER,test12,"),"
(“ ANCORA INVESTMENT TRUST INC. “,,,0,2,3a artemisiou & themidos str,1,0,1,2108907800,0,0,2108907880,0,ancora@ancora.gr,technical@ancora.gr,0,1,0,0,0,CUSTOMER,test12,"),"
(“ ANDRIAKI SHIPPING CO.LTD. “,,,0,2,9 fragkoklissias strt,1,0,1,2106152300,0,0,2106152301,0,email@andriaki.gr,0,0,1,0,,0,CUSTOMER,test12,"),"
(“ ANDRICO MARITIME CO. S.A. “,,,0,2,ATHENS,1,0,1,2106233500,2106233501-2,0,2106233523,0,lacitira@otenet.gr,0,0,0,0,0,0,CUSTOMER,0,"),"
(“ ANDRIKOPOULOS “,,,0,2,0,0,0,0,(210) 675-3061,0,0,0,0,0,0,0,0,0,0,0,CUSTOMER,0,"),"
(“ ANGELAKOS (HELLAS) S.A. “,,,0,2,8 Achilleos & Lamprou Katsoni Strs,1,0,1,2104287701,0,0,2104287707,0,ahsa@hol.gr,0,0,1,0,0,0,CUSTOMER,test12,"),"
(“ ANTONY GIAVRIDIS MARITIME INC. “,,,0,2,ATHENS 166 74,1,16674,1,2108983811,2108983812-6,0,2108983817,0,agiamar1@otenet.gr,0,0,0,0,0,0,CUSTOMER,0,"),"
(“ APTERA MARITIME S.A. “,,,0,2,133 Filonos Str.,1,18535,1,2104294568,0,0,2104294707,0,aptera@hol.gr,0,0,1,0,0,0,CUSTOMER,test12,"),"
(“ ARCHIPELAGO SHIPPING S.A. “,,,0,2,9 II Merarchias Str.,1,0,1,2104222134,2104222135-6,0,2104222137,0,pelagos@hol.gr,0,0,1,0,0,0,CUSTOMER,test12,"),"
